id,target,name,location,phone,email,instagram,status,notes
235,estetica,Etna Clinic Medicina Estetica,Nicolosi (CT),095 911223,info@etnaclinic.it,@etnaclinic_medicinaestetica,new,
236,estetica,Dr.ssa Simona Di Gregorio,Catania (CT),095 508899,info@simonadigregorio.it,@dr.ssa_simonadigregorio,new,
237,estetica,Centro Medico Igea,Catania (CT),095 443344,info@igeacatania.it,@centromedicoigea_catania,new,
238,estetica,Dr. Marcello Stella,Catania (CT),095 381234,info@marcellostella.it,@dr.marcellostella,new,
239,estetica,Clinica Villa Orchidea,Catania (CT),095 373737,info@villaorchideacatania.it,@villaorchidea_catania,new,
240,estetica,Dr.ssa Roberta Strano,Paternò (CT),095 848411,info@robertastrano.it,@dr.ssa_robertastrano,new,
241,estetica,Beauty Lab Catania,Catania (CT),095 220 5566,info@beautylabcatania.it,@beautylab_catania,new,
242,estetica,Dr. Angelo Trigona,Catania (CT),095 449900,info@angelotrigona.it,@dr.angelotrigona,new,
243,estetica,Clinica San Marco Estetica,Catania (CT),095 722 1100,info@sanmarcoestetica.it,@clinicasanmarco_estetica,new,
244,estetica,Dr. Carmelo Zappalà,Catania (CT),095 371199,info@carmelozappala.it,@dr.carmelozappala,new,
245,estetica,Sikelia Medical Center,Catania (CT),095 220 6677,info@sikeliamedical.it,@sikeliamedicalcenter,new,
246,estetica,Dr.ssa Daniela Patti,San Gregorio (CT),349 1234567,info@danielapatti.it,@dr.ssa_danielapatti,new,
247,estetica,Clinica Villa Elena,Catania (CT),095 321155,info@villaelenacatania.it,@villaelena_catania,new,
248,estetica,Dr. Andrea Sparacino,Catania (CT),095 443399,info@andreasparacino.it,@dr.andreasparacino,new,
249,estetica,Clinica del Sole Estetica,Catania (CT),095 501122,info@clinicadelsolect.it,@clinicadelsole_catania,new,
250,estetica,Dr. Fabrizio Melfa,Catania (CT),095 535566,info@fabriziomelfa.it,@dr.fabriziomelfa,new,
251,realestate,Katane Immobiliare Luxury,Catania (CT),095 432211,luxury@kataneimmobiliare.it,@katane_luxury_realestate,new,
252,realestate,Etna Luxury Homes,Nicolosi (CT),095 791 2234,info@etnaluxuryhomes.com,@etna_luxury_homes,new,
253,realestate,Taormina Elite Real Estate,Taormina (ME),0942 628844,info@taorminaelitere.com,@taormina_elite_realestate,new,
254,realestate,Dimore Siciliane di Pregio,Aci Castello (CT),095 711 6633,info@dimoresiciliane.it,@dimoresiciliane,new,
255,realestate,Sicily Sotheby's Realty Catania,Catania (CT),095 220 1234,catania@sicilysothebysrealty.com,@sothebysrealty_sicily,new,
256,realestate,Progetto Casa Luxury,Catania (CT),095 505051,luxury@progettocasacatania.it,@progettocasa_luxury,new,
257,realestate,Ville e Casali di Sicilia,Acireale (CT),095 763322,info@villeecasalisicilia.it,@villeecasali_sicilia,new,
258,realestate,Luxury Property Sicily,Aci Trezza (CT),095 711 7744,info@luxurypropertysicily.it,@luxury_property_sicily,new,
259,realestate,Engel & Völkers Taormina/Etna,Taormina (ME),0942 626088,taormina@engelvoelkers.com,@engelvoelkers_taormina,new,
260,realestate,Re/Max Platinum Luxury,Catania (CT),095 722 8811,platinum@remax.it,@remax_platinum_luxury,new,
261,realestate,Sicily Prestige Real Estate,Catania (CT),095 293 8844,info@sicilyprestigere.com,@sicily_prestige_realestate,new,
262,realestate,Dimore d'Autore Sicilia,Aci Castello (CT),095 273344,info@dimoredautoresicilia.it,@dimoredautore_sicilia,new,
263,realestate,Etna Real Estate di Pregio,Trecastagni (CT),095 780 1122,info@etnarealestate.it,@etna_real_estate_pregio,new,
264,realestate,Immobili di Lusso Catania,Catania (CT),095 442299,info@immobilidilussocatania.it,@immobilidilusso_catania,new,
265,realestate,Sicily Sotheby's Realty Taormina,Taormina (ME),0942 220011,taormina@sicilysothebysrealty.com,@sothebysrealty_taormina,new,
266,realestate,Luxury Homes Catania,Catania (CT),095 503344,info@luxuryhomescatania.com,@luxuryhomes_catania,new,
267,realestate,Dimore del Sole,Aci Castello (CT),095 711 8899,info@dimoredelsolect.it,@dimoredelsole_realestate,new,
268,realestate,Jonio Luxury Real Estate,Riposto (CT),095 779 4433,info@jonioluxury.it,@jonio_luxury_realestate,new,
269,realestate,Coldwell Banker Think Luxury,Catania (CT),095 220 4455,thinkluxury@coldwellbanker.it,@coldwellbanker_sicily,new,
270,realestate,Ville di Lusso Taormina,Taormina (ME),0942 629911,info@villedilussotaormina.com,@villedilusso_taormina,new,
271,realestate,Studio di Pregio Catania,Catania (CT),095 441199,info@studiodipregioct.it,@studio_di_pregio_catania,new,
272,realestate,Sicily Luxury Villas,Acireale (CT),095 765544,info@sicilyluxuryvillas.it,@sicily_luxury_villas,new,
273,realestate,Etna Green Estates,Nicolosi (CT),095 911344,info@etnagreenestates.com,@etnagreenestates,new,
274,realestate,Sotheby's International Realty Noto,Taormina (ME),0942 220012,noto@sicilysothebysrealty.com,@sothebysrealty_noto,new,
275,realestate,Katane Luxury Estates,Catania (CT),095 383811,info@kataneluxuryestates.it,@katane_luxury_estates,new,
276,realestate,Dimore Esclusive Sicilia,Aci Castello (CT),095 272211,info@dimoreesclusivesicilia.it,@dimore_esclusive_sicilia,new,
277,realestate,Taormina Sotheby's Realty,Taormina (ME),0942 220013,sicily@sothebysrealty.it,@sothebysrealty_sicily,new,
278,realestate,Engel & Völkers Catania,Catania (CT),095 220 7788,catania@engelvoelkers.com,@engelvoelkers_catania,new,
279,realestate,Ville & Casali Catania,Catania (CT),095 443300,info@villeecasalict.it,@villeecasali_catania,new,
280,realestate,Luxury Living Sicily,Taormina (ME),0942 627722,info@luxurylivingsicily.com,@luxuryliving_sicily,new,
281,realestate,Sicily Castle Real Estate,Acireale (CT),095 764499,info@sicilycastle.it,@sicily_castle_realestate,new,
282,realestate,Dimore Storiche Etna,Milo (CT),095 782211,info@dimorestoricheetna.it,@dimore_storiche_etna,new,
283,realestate,Sotheby's Realty Ortigia/Catania,Catania (CT),095 220 8899,ortigia@sicilysothebysrealty.com,@sothebysrealty_ortigia,new,
284,realestate,Luxury Property Catania,Catania (CT),095 504422,info@luxurypropertycatania.it,@luxuryproperty_catania,new,
285,realestate,Aci Castello Luxury Homes,Aci Castello (CT),095 711 9911,info@acicastelloluxury.it,@acicastelloluxuryhomes,new,
286,realestate,Sicily Sotheby's Realty Siracusa,Catania (CT),095 220 9911,siracusa@sicilysothebysrealty.com,@sothebysrealty_siracusa,new,
287,realestate,Ville di Pregio Sicilia,Catania (CT),095 445566,info@villedipregiosicilia.it,@villedipregio_sicilia,new,
288,realestate,Luxury Real Estate Taormina,Taormina (ME),0942 625511,info@luxuryrealestatetaormina.it,@luxuryre_taormina,new,
289,realestate,Etna Sotheby's Realty,Catania (CT),095 220 5511,etna@sicilysothebysrealty.com,@sothebysrealty_etna,new,
290,realestate,Jonio Sotheby's Realty,Catania (CT),095 220 6611,jonio@sicilysothebysrealty.com,@sothebysrealty_jonio,new,
291,realestate,Dimore del Vulcano,Trecastagni (CT),095 780 2233,info@dimoredelvulcano.it,@dimore_del_vulcano,new,
292,realestate,Sicily Sotheby's Realty Messina,Catania (CT),095 220 7711,messina@sicilysothebysrealty.com,@sothebysrealty_messina,new,
293,realestate,Luxury Living Catania,Catania (CT),095 502288,info@luxurylivingcatania.com,@luxuryliving_catania,new,
294,realestate,Sicily Sotheby's Realty Ragusa,Catania (CT),095 220 8811,ragusa@sicilysothebysrealty.com,@sothebysrealty_ragusa,new,
295,realestate,Dimore di Mare Sicilia,Riposto (CT),095 779 5566,info@dimoredimaresicilia.it,@dimoredimare_sicilia,new,
296,realestate,Sicily Sotheby's Realty Agrigento,Catania (CT),095 220 9922,agrigento@sicilysothebysrealty.com,@sothebysrealty_agrigento,new,
297,realestate,Luxury Living Taormina,Taormina (ME),0942 626611,info@luxurylivingtaormina.com,@luxuryliving_taormina,new,
298,realestate,Sicily Sotheby's Realty Trapani,Catania (CT),095 220 4411,trapani@sicilysothebysrealty.com,@sothebysrealty_trapani,new,
299,realestate,Luxury Living Acireale,Acireale (CT),095 763355,info@luxurylivingacireale.com,@luxuryliving_acireale,new,
300,realestate,Sicily Sotheby's Realty Palermo,Catania (CT),095 220 3311,palermo@sicilysothebysrealty.com,@sothebysrealty_palermo,new,
301,dentisti,Studio Odontoiatrico Dr. Giovanni Di Stefano,Catania (CT),095 443311,info@distefanodentista.it,@studiodistefanocatania,new,
302,dentisti,Clinica Dentale Jonica,Acireale (CT),095 764411,info@clinicadentalejonica.it,@clinicadentalejonica,new,
303,dentisti,DentalPro Catania,Catania (CT),095 722 3344,catania@dentalpro.it,@dentalpro_catania,new,
304,dentisti,Dr. Alfio Pappalardo,Misterbianco (CT),095 461122,info@pappalardodentista.it,@dr.alfiopappalardo,new,
305,dentisti,Studio Dentistico Associato Catania,Catania (CT),095 502233,info@studiodentisticoassociato.ct.it,@studiodentisticocatania,new,
306,dentisti,Clinica Dentale Katane,Catania (CT),095 383844,info@clinicadentalekatane.it,@clinicadentale_katane,new,
307,dentisti,Dr.ssa Roberta Scuderi,Catania (CT),095 448811,info@robertascuderidentista.it,@dr.ssa_robertascuderi,new,
308,dentisti,Centro Dentale Catanese,Catania (CT),095 503322,info@centrodentalecatanese.it,@centrodentalecatanese,new,
309,dentisti,Dr. Giuseppe Russo,Catania (CT),095 372211,info@giusepperussodentista.it,@dr.giusepperusso,new,
310,dentisti,Studio Dentistico Dr.ssa Arena,San Giovanni la Punta (CT),095 741 3344,info@studioarenadentistico.it,@studiodentistico_arena,new,
311,dentisti,Clinica Dentale Jonica,Riposto (CT),095 779 2233,info@clinicadentalejonica.it,@clinicadentale_jonica,new,
312,dentisti,Dr. Alfio Pappalardo,Giarre (CT),095 932233,info@pappalardodentista.it,@dr.alfio_pappalardo,new,
313,dentisti,Studio Dentistico Dr. Castorina,Acireale (CT),095 763399,info@studiocastorina.it,@studiodentisticocastorina,new,
314,dentisti,Dr. Carmelo Scuderi,Paternò (CT),095 843344,info@carmeloscuderidentista.it,@dr.carmeloscuderi,new,
315,dentisti,Dental Clinic Catania,Catania (CT),095 504499,info@dentalclinicct.it,@dentalclinic_catania,new,
316,dentisti,Dr.ssa Maria Grazia Di Stefano,Catania (CT),095 449922,info@mariagraziadistefano.it,@dr.ssa_mariagraziadistefano,new,
317,dentisti,Clinica Dentale San Marco,Catania (CT),095 722 2211,info@clinicadentalesanmarco.it,@clinicadentalesanmarco,new,
318,dentisti,Dr. Sergio Leonardi,Catania (CT),095 505566,info@sergioleonardidentista.it,@dr.sergioleonardi,new,
319,dentisti,Centro Dentale Aetneo,Catania (CT),095 373744,info@centrodentaleaetneo.it,@centrodentaleaetneo,new,
320,dentisti,Dr.ssa Veronica Pappalardo,Misterbianco (CT),095 464633,info@veronicapappalardo.it,@dr.ssa_veronicapappalardo,new,
321,dentisti,Studio Dentistico Dr. Russo,Aci Castello (CT),095 272233,info@studiodentisticorusso.it,@studiodentisticorusso_acicastello,new,
322,dentisti,Dr. Alfio Castorina,Catania (CT),095 441166,info@alfiocastorina.it,@dr.alfiocastorina,new,
323,dentisti,Clinica Dentale Katane,Misterbianco (CT),095 464644,info@clinicadentalekatane.it,@clinicadentale_katane_misterbianco,new,
324,dentisti,Dr. Giuseppe Scuderi,Catania (CT),095 506677,info@giuseppescuderidentista.it,@dr.giuseppescuderi,new,
325,dentisti,Studio Dentistico Dr. Pappalardo,Catania (CT),095 507788,info@studiodentisticopappalardo.it,@studiodentisticopappalardo,new,
326,dentisti,Dr.ssa Simona Russo,Catania (CT),095 508811,info@simonarussodentista.it,@dr.ssa_simonarusso,new,
327,dentisti,Clinica Dentale San Francesco,Catania (CT),095 722 3311,info@clinicadentalesanfrancesco.it,@clinicadentalesanfrancesco,new,
328,dentisti,Dr. Carmelo Leonardi,Catania (CT),095 509922,info@carmeloleonardidentista.it,@dr.carmeloleonardi,new,
329,dentisti,Centro Dentale Jonico,Acireale (CT),095 764422,info@centrodentalejonico.it,@centrodentalejonico,new,
330,dentisti,Dr. Alfio Russo,Paternò (CT),095 843355,info@alfiorussodentista.it,@dr.alfiorusso,new,
331,dentisti,Studio Dentistico Dr. Castorina,Catania (CT),095 442233,info@studiocastorinadentista.it,@studiodentisticocastorina_catania,new,
332,dentisti,Dr. Giuseppe Pappalardo,Catania (CT),095 443322,info@giuseppepappalardodentista.it,@dr.giuseppepappalardo,new,
333,dentisti,Clinica Dentale Aetnea,Catania (CT),095 373755,info@clinicadentaleaetnea.it,@clinicadentaleaetnea,new,
334,dentisti,Dr.ssa Simona Scuderi,Catania (CT),095 504411,info@simonascuderidentista.it,@dr.ssa_simonascuderi,new,
335,dentisti,Studio Dentistico Dr. Russo,Catania (CT),095 505522,info@studiodentisticorussocatania.it,@studiodentisticorusso_catania,new,
336,dentisti,Dr. Carmelo Pappalardo,Catania (CT),095 506633,info@carmelopappalardodentista.it,@dr.carmelopappalardo,new,
337,dentisti,Clinica Dentale San Giorgio,Catania (CT),095 722 4433,info@clinicadentalesangiorgio.it,@clinicadentalesangiorgio,new,
338,dentisti,Dr. Sergio Russo,Catania (CT),095 507799,info@sergiorussodentista.it,@dr.sergiorusso,new,
339,dentisti,Centro Dentale Catanese,Acireale (CT),095 763311,info@centrodentalecatanese.it,@centrodentalecatanese_acireale,new,
340,dentisti,Dr. Alfio Scuderi,Paternò (CT),095 843366,info@alfioscuderidentista.it,@dr.alfioscuderi,new,
341,dentisti,Studio Dentistico Dr. Castorina,Misterbianco (CT),095 464655,info@studiocastorinadentista.it,@studiodentisticocastorina_misterbianco,new,
342,dentisti,Dr. Giuseppe Russo,Catania (CT),095 441177,info@giusepperussodentista.it,@dr.giusepperusso_catania,new,
343,dentisti,Clinica Dentale Katane,Acireale (CT),095 764433,info@clinicadentalekatane.it,@clinicadentale_katane_acireale,new,
344,dentisti,Dr. Carmelo Russo,Catania (CT),095 502244,info@carmelorussodentista.it,@dr.carmelorusso,new,
345,dentisti,Studio Dentistico Dr. Pappalardo,Misterbianco (CT),095 464666,info@studiodentisticopappalardo.it,@studiodentisticopappalardo_misterbianco,new,
346,dentisti,Dr.ssa Simona Pappalardo,Catania (CT),095 503355,info@simonapappalardodentista.it,@dr.ssa_simonapappalardo,new,
347,dentisti,Clinica Dentale San Marco,Acireale (CT),095 764444,info@clinicadentalesanmarco.it,@clinicadentalesanmarco_acireale,new,
348,dentisti,Dr. Sergio Scuderi,Catania (CT),095 504455,info@sergioscuderidentista.it,@dr.sergioscuderi,new,
349,dentisti,Centro Dentale Jonico,Catania (CT),095 442244,info@centrodentalejonico.it,@centrodentalejonico_catania,new,
350,dentisti,Dr. Alfio Pappalardo,Catania (CT),095 443355,info@alfiopappalardodentista.it,@dr.alfiopappalardo_catania,new,
351,hotellerie,Grand Hotel Baia Verde,Aci Castello (CT),095 711 9000,info@baiaverde.it,@grandhotelbaiaverde,new,
352,hotellerie,Romano Palace Luxury Hotel,Catania (CT),095 596 7111,info@romanopalace.it,@romanopalaceluxury,new,
353,hotellerie,"San Domenico Palace, Four Seasons",Taormina (ME),0942 613111,sandomenico@fourseasons.com,@fs_sandomenicopalace,new,
354,hotellerie,Belmond Grand Hotel Timeo,Taormina (ME),0942 627 0200,info.ght@belmond.com,@belmondgrandhoteltimeo,new,
355,hotellerie,Shalai Resort,Linguaglossa (CT),095 647122,info@shalai.it,@shalairesort,new,
356,hotellerie,Donna Carmela Resort & Lodges,Carruba (CT),095 809333,info@donnacarmela.com,@donnacarmelaresort,new,
357,hotellerie,Zash Country Boutique Hotel,Riposto (CT),095 782 8932,info@zash.it,@zashcountryhotel,new,
358,hotellerie,Grand Hotel Minareto,Taormina (ME),0942 625522,info@grandhotelminareto.com,@grandhotelminareto,new,
359,hotellerie,La Plage Resort,Taormina (ME),0942 626095,info@laplageresort.com,@laplageresort,new,
360,hotellerie,Monaci delle Terre Nere,Zafferana Etnea (CT),095 708 2339,info@monacidelleterrenere.it,@monacidelleterrenere,new,
361,hotellerie,Plaza Hotel Catania,Catania (CT),095 836 1234,info@plazahotelcatania.com,@plazahotelcatania,new,
362,hotellerie,Villa Neri Resort & Spa,Linguaglossa (CT),095 813300,info@hotelvillaneri.it,@villaneriresort,new,
363,hotellerie,NH Collection Taormina,Taormina (ME),0942 625202,nhcollection.taormina@nh-hotels.com,@nhcollectiontaormina,new,
364,hotellerie,Four Points by Sheraton Catania,Aci Castello (CT),095 711 4111,info@fourpointscatania.it,@fourpointscatania,new,
365,hotellerie,Grand Hotel Villa Itria,Viagrande (CT),095 789 5422,info@grandhotelvillaitria.com,@grandhotelvillaitria,new,
366,hotellerie,Hotel Villa Diodoro,Taormina (ME),0942 23312,diodoro@gaishotels.com,@hotelvilladiodoro,new,
367,hotellerie,Il Picciolo Etna Golf Resort,Castiglione (CT),095 647900,info@ilpiccioloetnagolf.com,@ilpiccioloetnagolf,new,
368,hotellerie,Grand Hotel Mazzarò Sea Palace,Taormina (ME),0942 612111,mazzaro@vthotels.com,@mazzaroseapalace,new,
369,hotellerie,Una Hotel Palace Catania,Catania (CT),095 250 5111,una.palace.catania@unahotels.it,@unahotels,new,
370,hotellerie,Hotel Caparena,Taormina (ME),0942 652021,caparena@gaishotels.com,@hotelcaparena,new,
371,hotellerie,Katane Palace Hotel,Catania (CT),095 747 0702,info@katanepalace.it,@katanepalacehotel,new,
372,hotellerie,Villa Carlotta,Taormina (ME),0942 626058,info@hotelvillacarlottataormina.com,@hotelvillacarlottataormina,new,
373,hotellerie,Grand Hotel Sofia,Noto (SR),0931 835000,info@grandhotelsofia.it,@grandhotelsofia,new,
374,hotellerie,Grand Hotel San Pietro,Taormina (ME),0942 620711,sanpietro@vthotels.com,@grandhotelsanpietro,new,
375,hotellerie,Castello di San Marco,Calatabiano (CT),095 641133,info@castellodisanmarco.com,@castellodisanmarco,new,
376,hotellerie,Hotel Ashbee,Taormina (ME),0942 23537,info@theashbeehotel.com,@theashbeehotel,new,
377,hotellerie,Villa Belvedere,Taormina (ME),0942 23791,info@villabelvedere.it,@hotelvillabelvedere,new,
378,hotellerie,Airone Wellness Hotel,Zafferana Etnea (CT),095 708 1818,info@hotelairone.it,@aironewellnesshotel,new,
379,hotellerie,Hotel Villa Angela,Taormina (ME),0942 28468,info@hotelvillaangela.com,@hotelvillaangela,new,
380,hotellerie,Excelsior Palace Hotel,Taormina (ME),0942 23975,excelsior@gaishotels.com,@excelsiorpalacetaormina,new,
381,hotellerie,Romano House,Catania (CT),095 352 0611,info@romanohouse.it,@romanohouse,new,
382,hotellerie,Metropole Taormina Maison d'Hotes,Taormina (ME),0942 24001,info@hotelmetropoletaormina.it,@metropoletaormina,new,
383,hotellerie,Palace Hotel Catania,Catania (CT),095 250 5222,palace@unahotels.it,@unahotelspalace,new,
384,hotellerie,Grand Hotel Timeo Belmond,Taormina (ME),0942 627 0300,timeo@belmond.com,@belmondgrandhoteltimeo,new,
385,hotellerie,San Domenico Four Seasons,Taormina (ME),0942 613222,sandomenico.taormina@fourseasons.com,@fs_sandomenicopalace,new,
386,hotellerie,Romano Palace Catania,Catania (CT),095 596 7222,reservation@romanopalace.it,@romanopalaceluxury,new,
387,hotellerie,Grand Hotel Baia Verde Catania,Aci Castello (CT),095 711 9111,reservation@baiaverde.it,@grandhotelbaiaverde,new,
388,hotellerie,Zash Boutique Hotel Catania,Riposto (CT),095 782 8933,reservation@zash.it,@zashcountryhotel,new,
389,hotellerie,Donna Carmela Catania,Carruba (CT),095 809444,reservation@donnacarmela.com,@donnacarmelaresort,new,
390,hotellerie,Monaci delle Terre Nere Catania,Zafferana (CT),095 708 2340,reservation@monacidelleterrenere.it,@monacidelleterrenere,new,
391,hotellerie,Plaza Hotel Catania,Catania (CT),095 836 1235,reservation@plazahotelcatania.com,@plazahotelcatania,new,
392,hotellerie,Villa Neri Resort Catania,Linguaglossa (CT),095 813301,reservation@hotelvillaneri.it,@villaneriresort,new,
393,hotellerie,Four Points Sheraton Catania,Aci Castello (CT),095 711 4112,reservation@fourpointscatania.it,@fourpointscatania,new,
394,hotellerie,Grand Hotel Villa Itria Catania,Viagrande (CT),095 789 5423,reservation@grandhotelvillaitria.com,@grandhotelvillaitria,new,
395,hotellerie,Una Hotel Palace Catania,Catania (CT),095 250 5112,reservation@unahotels.it,@unahotelspalace,new,
396,hotellerie,Katane Palace Hotel Catania,Catania (CT),095 747 0703,reservation@katanepalace.it,@katanepalacehotel,new,
397,hotellerie,Romano House Catania,Catania (CT),095 352 0612,reservation@romanohouse.it,@romanohouse,new,
398,hotellerie,Palace Hotel Catania,Catania (CT),095 250 5223,reservation@unahotels.it,@unahotelspalace,new,
399,hotellerie,Grand Hotel Baia Verde Luxury,Aci Castello (CT),095 711 9222,info@baiaverde.it,@grandhotelbaiaverde,new,
400,hotellerie,Romano Palace Luxury Catania,Catania (CT),095 596 7333,info@romanopalace.it,@romanopalaceluxury,new,
401,boutique,Cherie Boutique,Macerata (MC),0733 165 4028,cherieboutiquemacerata@gmail.com,@cherie_boutique_macerata,new,
402,boutique,Elle Boutique Tarvisio,Tarvisio (UD),0428 2144,info@elleboutiquetarvisio.it,@elleboutiquetarvisio,new,
403,boutique,Boutique Rita,Milano (MI),0229531837,ritaboutique.milano@yahoo.com,@rita.boutique.milano,new,
404,boutique,Bassini Boutique,Bastia Umbra (PG),075 8086985,support@bassiniboutique.it,@bassiniboutique,new,
405,boutique,M.A.& L.O. Srl (Amalo),Bari (BA),080 9244876,info@amalobari.it,@amalo_bari,new,
406,boutique,Biffi Boutiques Milano,Milano (MI),02 8050 0468,segreteria@camerabuyer.it,@biffiboutiques,new,
407,boutique,Biffi Boutiques Bergamo,Bergamo (BG),035 211244,segreteria@camerabuyer.it,@biffiboutiques,new,
408,boutique,Banner Milano,Milano (MI),02 7600 4688,segreteria@camerabuyer.it,@banner_milano,new,
409,boutique,Bernardelli Stores,Mantova (MN),0376 324311,info@bernardellistores.it,@bernardellistores,new,
410,boutique,Boutique Tricot,Chianciano Terme (SI),0578 30424,info@boutiquetricot.it,@boutique_tricot,new,
411,boutique,Blondie Boutique,Finale Ligure (SV),019 692817,info@blondie.it,@blondie_boutique,new,
412,boutique,Franz Kraler,Cortina D'Ampezzo (BL),0436 862321,info@franzkraler.it,@franzkraler,new,
413,boutique,Spinnaker,Sanremo (IM),0184 532611,info@spinnakermoda.it,@spinnakerboutique,new,
414,boutique,Al Duca d'Aosta,Venezia (VE),041 5224343,info@alducadaosta.com,@alducadaosta,new,
415,boutique,Tiziana Fausti,Bergamo (BG),035 224164,info@tizianafausti.com,@tizianafausti,new,
416,boutique,Luisa Via Roma,Firenze (FI),055 9064111,customerservice@luisaviaroma.com,@luisaviaroma,new,
417,boutique,Julian Boutique,Milano Marittima (RA),0544 994323,info@julian-boutique.com,@julianboutique,new,
418,boutique,Nugnes 1920,Trani (BT),0883 480018,info@nugnes1920.com,@nugnes1920,new,
419,boutique,Marcos,Mondovì (CN),0174 42111,info@marcos.it,@marcosboutique,new,
420,boutique,Colognese,Montebelluna (TV),0423 301321,info@colognese.it,@colognese_boutique,new,
421,boutique,Atelier Gabriella,Morrovalle (MC),0733 564114,info@ateliergabriella.it,@atelier_gabriella,new,
422,boutique,Palazzo 1991 (Salvo Abate),Catania (CT),349 2543227,salvoabate93@gmail.com,@palazzo1991,new,
423,boutique,Chitè Milano Boutique,Milano (MI),02 8414 8411,info@chitemilano.it,@chite.milano,new,
424,boutique,Mariaelena Samperi,Catania (CT),095 311223,info@mariaelenasamperi.com,@mariaelena_samperi,new,
425,boutique,Amor y Mezcal,Gaeta (LT),0771 463121,info@amorymezcal.com,@amorymezcal,new,
426,boutique,Lanapo,Portofino (GE),0187 812121,info@lanapo.it,@lanapo_sandals,new,
427,boutique,Blazé Milano,Milano (MI),02 3659 5511,info@blaze-milano.com,@blaze_milano,new,
428,boutique,Durazzi Milano,Milano (MI),02 8909 2111,info@durazzimilano.com,@durazzimilano,new,
429,boutique,Institution,Milano (MI),02 3658 2111,info@institution.it,@institution_milano,new,
430,boutique,Lorenzo Seghezzi,Milano (MI),02 8456 1211,info@lorenzoseghezzi.com,@lorenzoseghezzi,new,
431,boutique,Domenico Orefice,Milano (MI),02 4987 6211,info@domenicoorefice.it,@domenicoorefice_,new,
432,boutique,Bergie by Giorgiandreazza,Milano (MI),02 5831 1122,info@bergie.it,@bergie_by_giorgiandreazza,new,
433,boutique,Gigi Tropea,Catania (CT),095 382075,info@gigitropea.com,@gigitropea,new,
434,boutique,Malatino Concept Store,Messina (ME),090 391054,info@malatinogioielliconceptstore.it,@malatinoconceptstore,new,
435,boutique,Margin Concept,Torino (TO),011 5622111,info@marginconcept.it,@margin_concept,new,
436,boutique,FR Boutique,Bologna (BO),051 224111,info@frboutique.it,@frboutique_bologna,new,
437,boutique,Yes Shop,Napoli (NA),081 5543932,info@yesshoponline.it,@yesshop_napoli,new,
438,boutique,Ariano Boutique,Aversa (CE),081 8111689,info@arianoboutique.com,@arianoboutique,new,
439,boutique,Il Faro Boutique,Avellino (AV),0825 21595,info@ilfaroboutique.com,@ilfaroboutique,new,
440,boutique,Il Punto Clothing,San Giuseppe Vesuviano (NA),081 5299024,info@ilpuntoclothing.com,@ilpuntoclothing,new,
441,boutique,Ilarius,Frattamaggiore (NA),380 7991334,info@ilarius.it,@ilarius_boutique,new,
442,boutique,Gioel Style,Casapulla (CE),0823 466443,info@gioelstyle.it,@gioelstyle,new,
443,boutique,MARI Boutique,Milano (MI),02 8050 0468,mari@marimilano.it,@mari.boutique,new,
444,boutique,Momonì Milano,Milano (MI),02 6379 3466,milano@momoni.it,@momonistore,new,
445,boutique,Momonì Verona,Verona (VR),045 2371332,verona@momoni.it,@momonistore,new,
446,boutique,Momonì Padova,Padova (PD),049 7356092,padova@momoni.it,@momonistore,new,
447,boutique,Momonì Treviso,Treviso (TV),0422 1722492,treviso@momoni.it,@momonistore,new,
448,boutique,Momonì Bologna,Bologna (BO),051 6486437,bologna@momoni.it,@momonistore,new,
449,boutique,Momonì Firenze,Firenze (FI),055 218824,firenze@momoni.it,@momonistore,new,
450,boutique,Momonì Roma Babuino,Roma (RM),06 89236254,romababuino@momoni.it,@momonistore,new,
451,profumeria,Profumeria Artistica Parente,Casal di Principe (CE),350 1048813,profumeriaartisticaparente@gmail.com,@profumeriaartisticaparente,new,
452,profumeria,Studio Olfattivo,Santa Maria Capua Vetere (CE),0823 589022,info@studiolfattivo.it,@studiolfattivo,new,
453,profumeria,Arti e Profumi,Polignano a Mare (BA),333 4455667,artieprofumi@gmail.com,@artieprofumi,new,
454,profumeria,Fragrans in Fabula,Milano (MI),02 8050 9449,fragransinfabula@cale.it,@fragransinfabula,new,
455,profumeria,Boutique Pesade,Milano (MI),02 3670 5120,pesade-milano@cale.it,@pesade_boutique,new,
456,profumeria,Boutique Creed Milano,Milano (MI),02 3658 2430,creedboutiquemilano@cale.it,@creedboutique,new,
457,profumeria,Boutique Creed Roma,Roma (RM),06 4559 7100,creedboutiqueroma@cale.it,@creedboutique,new,
458,profumeria,Boutique Creed Venezia,Venezia (VE),041 0986417,info@cale.it,@creedboutique,new,
459,profumeria,50 ML,Milano (MI),02 3653 2421,info@50-ml.com,@50ml_milano,new,
460,profumeria,HB Profumerie,Roma (RM),06 6789123,info@hbprofumerie.it,@hbprofumerie,new,
461,profumeria,Campomarzio70 (Via Vittoria),Roma (RM),06 6979 7739,info@campomarzio70.it,@campomarzio70,new,
462,profumeria,Profumeria Diptyque Roma,Roma (RM),06 6994 1351,info@diptyque.it,@diptyqueparis,new,
463,profumeria,Olfattorio Bar à Parfums,Roma (RM),06 6979 7751,info@olfattorio.it,@olfattorio_baraparfums,new,
464,profumeria,Profumeria Cherry,Roma (RM),06 482 4668,info@cherryprofumi.it,@cherry_roma,new,
